date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.444.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26page%3D1)
21:32:29	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.445.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26page%3D1)
21:32:29	11595/11595	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:26%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De4%26wr_id%3D2%26page%3D0	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/loginbceb.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e4&wr_id=2&page=0)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.447.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e3&wr_id=1&page=1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.448.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e3&wr_id=1&page=1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.449.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26wr_id%3D1%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.44a.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26wr_id%3D1%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.44b.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D8%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.44c.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D8%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.44d.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D9%26sfl%3D%26stx%3D%26sst%3Dwr_datetime%26sod%3Dasc%26sop%3Dand%26page%3D1)
